関連マンガ・アニメ作品,作者 / 制作,年代・区分,編（地域）,英語タグ / 検索フック,関連する絵巻物,関連性・引用・共通点
呪術廻戦,芥見下々,現代トレンド,⛩️ 京都編,#JujutsuKaisen #Kusozu #DeathPaintings #Choso,九相図（九相詩絵巻）,【直系】「呪胎九相図（脹相・壊相・血塗…）」の完全な原典。 腐敗・損壊の9段階がキャラクター名や術式設定の核。
チェンソーマン,藤本タツキ,現代トレンド,⛩️ 京都編,#ChainsawMan #DarkFantasy #Decay,九相図（九相詩絵巻）,美女や人体の無残な損壊・腐乱と、そこに漂う不条理な恐怖・エロス（中世不浄観の現代的アップデート）。
地獄楽,賀来ゆうじ,現代トレンド,⛩️ 京都編,#HellParadise #Jigokuraku #Buddhism,九相図（九相詩絵巻）,極楽浄土と死体腐乱・異形化が融合した「神仙郷」のビジュアル。仏教的世界観と不浄観の表裏一体性。
魍魎の匣 / 狂骨の夢,京極夏彦 / 志水アキ,平成（伝奇）,⛩️ 京都編,#Kyogokudo #MouryouNoHako #KusozuLore,九相図（九相詩絵巻）,九相図の歴史・檀林皇后伝説・不浄観の哲学が作中で徹底的に解説・引用される伝奇ミステリ。
ベルセルク（Berserk）,三浦建太郎,平成〜現代,⛩️ 京都編,#Berserk #DarkFantasy #MedievalDecay,九相図 / 餓鬼草紙,戦場やペスト、亡者たちの肉体が腐乱・白骨化していく圧倒的な中世ダークファンタジーのリアリズム。
ゲゲゲの鬼太郎 / 妖怪画,水木しげる,昭和〜平成,⛩️ 京都編,#ShigeruMizuki #Yokai #BuddhistArt,九相図 / 地獄草紙,水木しげる自身が九相図・地獄絵を徹底研究。風葬地（鳥辺野）や死体の崩壊、妖怪の造形に直接引用。
蔵六の奇病 / 地獄変,日野日出志,昭和（怪奇）,⛩️ 京都編,#HideshiHino #BodyHorror #ClassicHorror,九相図（九相詩絵巻）,肉体が膿み・腫れ・ただれて崩壊していく過程の克明な描写（膿爛相・壊相の極限表現）。
少女椿 / 耽美エログロ劇画,丸尾末広 / 花輪和一,昭和〜現代,⛩️ 京都編,#SuehiroMaruo #EroGuro #Mujo,九相図（九相詩絵巻）,「美女と死・腐敗・不浄」の対比（九相図の伝統的エロティシズムと無常観）を継承したアングラ芸術。
妖怪ハンター / 暗黒神話,諸星大二郎,昭和〜平成,⛩️ 京都編,#DaijiroMorohoshi #FolkLore #Buddhism,九相図（九相詩絵巻）,鳥辺野などの風葬・鳥葬文化や、古代・中世仏教の死生観を民俗学的に描く伝奇漫画。
鉄腕アトム / 火の鳥 / ジャングル大帝,手塚治虫,昭和（戦後名作）,⛩️ 京都編,#MangaRoots #OsamuTezuka,鳥獣人物戯画（甲巻）,手塚治虫自身が日本マンガのルーツとして鳥獣戯画を研究・言及。擬人化表現や動線描写の基礎。
平成狸合戦ぽんぽこ,高畑勲 / スタジオジブリ,平成（名作アニメ）,⛩️ 京都編,#Ghibli #IsaoTakahata #Anthropomorphic,鳥獣人物戯画（甲巻）,高畑勲監督の絵巻物研究（『十二世紀のアニメーション』）が反映。タヌキの擬人化や百鬼夜行の躍動感。
BEASTARS,板垣巴留,現代トレンド,⛩️ 京都編,#BEASTARS #Anthropomorphic #Satire,鳥獣人物戯画（甲巻）,擬人化された動物たちの学園・社会ドラマ。「動物を通した人間・社会の風刺」という鳥獣戯画のスピリットを継承。
オッドタクシー（ODDTAXI）,木下麦 / P.I.C.S.,現代トレンド,⛩️ 京都編,#OddTaxi #ModernSatire,鳥獣人物戯画（甲巻）,全員が動物の姿で描かれながら、現代社会のリアルな闇や人間の欲望を描き出すサスペンス構造。
